VR_V,Mn_abrupt,Mp_abrupt,Mn_graded,Mp_graded
0.0,1.0000000000020384,1.0,1.0,1.0
1.0,1.0000000449334043,1.0000000000007196,1.0,1.0
2.0,1.0000023641592208,1.0000000003804925,1.0000000000000002,1.0
3.0,1.0000234856147614,1.0000000140132164,1.0000000000002365,1.0
4.0,1.0001110289008721,1.0000001584902116,1.0000000000317693,1.0
5.0,1.0003490596614817,1.0000009396283418,1.0000000009741108,1.0000000000000004
6.0,1.000852073823818,1.0000037370834256,1.000000012506858,1.000000000000021
7.0,1.0017548928945847,1.0000113762818854,1.000000091625652,1.000000000000534
8.0,1.0032031607642096,1.0000286521944601,1.000000456587471,1.0000000000071916
9.0,1.0053461524323604,1.0000627239809996,1.000001723869871,1.0000000000616112
10.0,1.0083320760755459,1.0001233590108836,1.0000052898405367,1.0000000003765945
11.0,1.012305482882406,1.000223043423615,1.0000138392576399,1.0000000017757775
12.0,1.0174062783940232,1.0003769938036633,1.0000319305524246,1.0000000068262076
13.0,1.0237698787597806,1.0006031079584579,1.0000665938775988,1.0000000222697327
14.0,1.0315281530228848,1.000921889035024,1.0001278813608725,1.0000000635405926
15.0,1.0408108904233522,1.001356370804591,1.0002293234500712,1.0000001622412
16.0,1.051747614294061,1.0019320653742816,1.0003882638110027,1.0000003774039767
17.0,1.0644696289816125,1.0026769490075127,1.0006260630365773,1.00000081119928
18.0,1.0791122355408536,1.0036214975522892,1.0009681758375788,1.0000016294920304
19.0,1.0958170891405865,1.0047987802153002,1.001444116557393,1.0000030873508416
20.0,1.1147346995251095,1.0062446189506062,1.0020873339858911,1.0000055593214145
21.0,1.1360270983963097,1.0079978203900792,1.0029350192428539,1.0000095740292718
22.0,1.159870716623642,1.0101004878882403,1.0040278708051313,1.0000158525002099
23.0,1.1864595317773565,1.0125984227992681,1.005409839363735,1.000025349490835
24.0,1.2160085643896015,1.0155416265278407,1.0071278727866892,1.0000392971053058
25.0,1.2487578212581056,1.0189849182525768,1.0092316785489137,1.0000592500288938
26.0,1.284976807759659,1.0229886876510248,1.0117735179486804,1.0000871318204994
27.0,1.3249697605134214,1.027619807699282,1.0148080435197233,1.0001252818594075
28.0,1.3690817892491656,1.03295274004453,1.0183921884342175,1.0001765027215
29.0,1.4177061655259344,1.0390708750880313,1.022585114470261,1.0002441079538718
30.0,1.471293060220436,1.0460681615291798,1.0274482233341682,1.0003319704142177
31.0,1.530360117263378,1.054051096786726,1.033045234794996,1.000444571535313
32.0,1.595505366099401,1.0631411719690544,1.0394423341971788,1.0005870520613243
33.0,1.6674231314255885,1.0734778951213064,1.046708391445964,1.0007652649802274
34.0,1.7469238127935345,1.0852225575439487,1.0549152534839004,1.00098583154634
35.0,1.8349587034312869,1.0985629647785302,1.0641381125698965,1.0012562014520765
36.0,1.9326514341257701,1.1137194334385385,1.074455953315181,1.0015847183733368
37.0,2.0413382202031833,1.1309524681004188,1.0859520824104985,1.0019806922848666
38.0,2.162619943797857,1.1505726953999333,1.098714746294443,1.0024544801282038
39.0,2.2984303549392275,1.1729538710755718,1.1128378436753403,1.003017576624583
40.0,2.4511265397368405,1.1985501311720856,1.1284217418555391,1.003682717269013
41.0,2.6236106352923794,1.2279191982723117,1.1455742082629212,1.0044639958321044
42.0,2.8194961594903742,1.2617540900112514,1.1644114715375267,1.0053769990477512
43.0,3.043339282860815,1.3009272033560004,1.1850594300459907,1.0064389615951208
44.0,3.300966688520412,1.346552805184444,1.2076550299306215,1.0076689450140517
45.0,3.5999506065445512,1.4000775691528697,1.2323478399125696,1.0090880448506367
46.0,3.9503143341649394,1.4634150352110644,1.259301856281707,1.0107196311479927
47.0,4.365610190690006,1.5391510425683743,1.2886975791100557,1.0125896284188207
48.0,4.864621403019468,1.6308680630733743,1.320734410100749,1.0147268425163822
49.0,5.474154228432634,1.743677298068288,1.3556334341290772,1.017163343430588
50.0,6.233832516112836,1.8851323751909626,1.3936406611029166,1.019934915069987
51.0,7.20479759556397,2.0668872752981793,1.4350308231373419,1.0230815856727609
52.0,8.48660761366312,2.3079168142382347,1.4801118453641333,1.0266482557860894
53.0,10.25303215763698,2.641337973968777,1.5292301385431881,1.0306854449861815
54.0,12.837035461675327,3.1306050595636123,1.5827769001264516,1.0352501839828068
55.0,16.96723525798734,3.9145715387287803,1.6411956604406308,1.0404070858753771
56.0,24.60394962245425,5.3668158599679945,1.7049913761972229,1.046229639672627
57.0,43.44691082064462,8.954687197791552,1.7747414601744058,1.0528017815495327
58.0,165.29683624495036,32.17351247086313,1.8511092514858882,1.0602198158129106
59.0,nan,nan,1.9348605865227906,1.0685947797757982
60.0,nan,nan,2.0268843425191347,1.0780553769988104
61.0,nan,nan,2.128218117239618,1.0887516449994223
62.0,nan,nan,2.240080614279998,1.1008595815228515
63.0,nan,nan,2.363912876102394,1.1145870352670022
64.0,nan,nan,2.5014313258332668,1.1301812839343748
65.0,nan,nan,2.654696767622183,1.1479388923009968
66.0,nan,nan,2.8262052494154646,1.1682186935623666
67.0,nan,nan,3.019009326672728,1.1914591135847767
68.0,nan,nan,3.236882301099557,1.2182016341762225
69.0,nan,nan,3.4845443244592635,1.2491230937429358
70.0,nan,nan,3.7679793817214486,1.2850809699587513
71.0,nan,nan,4.094888834665735,1.3271781699679586
72.0,nan,nan,4.47535547794043,1.376857892192422
73.0,nan,nan,4.922841663922219,1.4360462098921762
74.0,nan,nan,5.45573551468791,1.5073729493034473
75.0,nan,nan,6.099831718302142,1.5945260741529497
76.0,nan,nan,6.8924797806417155,1.7028442686524021
77.0,nan,nan,7.889872252048522,1.840358071583123
78.0,nan,nan,9.180646135511596,2.0197328617193357
79.0,nan,nan,10.913253951562263,2.2621788720551277
80.0,nan,nan,13.356668793341987,2.6061230568023044
81.0,nan,nan,17.05384677722099,3.129131650248753
82.0,nan,nan,23.28980137525308,4.014776243943733
83.0,nan,nan,36.01732269801471,5.827731612721557
84.0,nan,nan,76.250918359393,11.570051429515368
85.0,nan,nan,nan,nan
86.0,nan,nan,nan,nan
87.0,nan,nan,nan,nan
88.0,nan,nan,nan,nan
89.0,nan,nan,nan,nan
90.0,nan,nan,nan,nan
91.0,nan,nan,nan,nan
92.0,nan,nan,nan,nan
93.0,nan,nan,nan,nan
94.0,nan,nan,nan,nan
95.0,nan,nan,nan,nan
96.0,nan,nan,nan,nan
97.0,nan,nan,nan,nan
98.0,nan,nan,nan,nan
99.0,nan,nan,nan,nan
100.0,nan,nan,nan,nan
101.0,nan,nan,nan,nan
102.0,nan,nan,nan,nan
103.0,nan,nan,nan,nan
104.0,nan,nan,nan,nan
105.0,nan,nan,nan,nan
106.0,nan,nan,nan,nan
107.0,nan,nan,nan,nan
108.0,nan,nan,nan,nan
109.0,nan,nan,nan,nan
110.0,nan,nan,nan,nan
111.0,nan,nan,nan,nan
112.0,nan,nan,nan,nan
113.0,nan,nan,nan,nan
114.0,nan,nan,nan,nan
115.0,nan,nan,nan,nan
116.0,nan,nan,nan,nan
117.0,nan,nan,nan,nan
118.0,nan,nan,nan,nan
119.0,nan,nan,nan,nan
120.0,nan,nan,nan,nan
